date	type	metric	value	status
# Append-only. One row per session/milestone. Tab-separated. Never rewrite existing rows.
2026-09-13	analysis	Notion MCP capability audit	views yes / buttons no / templates no	done
2026-09-13	spec	databases specified in SCHEMA.md	30	done
2026-09-13	build	databases created in Notion	0	open
2026-09-13	build	databases created in Notion	30	done
2026-09-13	build	seed rows created	218	done
2026-09-13	build	formulas deferred to manual checklist	1 (Recipes Missing pretty label)	open
2026-09-13	build	views created in Notion	133	done
2026-09-13	build	views needing manual relative-date filter swap	12	open
2026-09-13	build	dashboard pages assembled	4 + parent nav	done
2026-09-13	build	linked views on dashboards	77	done
